"","date","hits","keyword","geo","time","gprop","category"
"47",2007-11-01,"24","normal","world","all","web",0
"48",2007-12-01,"20","normal","world","all","web",0
"49",2008-01-01,"24","normal","world","all","web",0
"50",2008-02-01,"25","normal","world","all","web",0
"51",2008-03-01,"26","normal","world","all","web",0
"52",2008-04-01,"26","normal","world","all","web",0
"53",2008-05-01,"26","normal","world","all","web",0
"54",2008-06-01,"23","normal","world","all","web",0
"55",2008-07-01,"23","normal","world","all","web",0
"56",2008-08-01,"25","normal","world","all","web",0
"57",2008-09-01,"25","normal","world","all","web",0
"58",2008-10-01,"26","normal","world","all","web",0
"59",2008-11-01,"26","normal","world","all","web",0
"60",2008-12-01,"24","normal","world","all","web",0
"61",2009-01-01,"27","normal","world","all","web",0
"62",2009-02-01,"28","normal","world","all","web",0
"63",2009-03-01,"29","normal","world","all","web",0
"64",2009-04-01,"29","normal","world","all","web",0
"65",2009-05-01,"29","normal","world","all","web",0
"66",2009-06-01,"27","normal","world","all","web",0
"67",2009-07-01,"29","normal","world","all","web",0
"68",2009-08-01,"29","normal","world","all","web",0
"69",2009-09-01,"31","normal","world","all","web",0
"70",2009-10-01,"33","normal","world","all","web",0
"71",2009-11-01,"32","normal","world","all","web",0
"72",2009-12-01,"29","normal","world","all","web",0
"73",2010-01-01,"30","normal","world","all","web",0
"74",2010-02-01,"33","normal","world","all","web",0
"75",2010-03-01,"33","normal","world","all","web",0
"76",2010-04-01,"33","normal","world","all","web",0
"77",2010-05-01,"31","normal","world","all","web",0
"78",2010-06-01,"29","normal","world","all","web",0
"79",2010-07-01,"31","normal","world","all","web",0
"80",2010-08-01,"33","normal","world","all","web",0
"81",2010-09-01,"32","normal","world","all","web",0
"82",2010-10-01,"33","normal","world","all","web",0
"83",2010-11-01,"33","normal","world","all","web",0
"84",2010-12-01,"30","normal","world","all","web",0
"85",2011-01-01,"34","normal","world","all","web",0
"86",2011-02-01,"35","normal","world","all","web",0
"87",2011-03-01,"35","normal","world","all","web",0
"88",2011-04-01,"38","normal","world","all","web",0
"89",2011-05-01,"35","normal","world","all","web",0
"90",2011-06-01,"35","normal","world","all","web",0
"91",2011-07-01,"33","normal","world","all","web",0
"92",2011-08-01,"36","normal","world","all","web",0
"93",2011-09-01,"36","normal","world","all","web",0
"94",2011-10-01,"39","normal","world","all","web",0
"95",2011-11-01,"37","normal","world","all","web",0
"96",2011-12-01,"35","normal","world","all","web",0
"97",2012-01-01,"34","normal","world","all","web",0
"98",2012-02-01,"39","normal","world","all","web",0
"99",2012-03-01,"39","normal","world","all","web",0
"100",2012-04-01,"37","normal","world","all","web",0
"101",2012-05-01,"38","normal","world","all","web",0
"102",2012-06-01,"38","normal","world","all","web",0
"103",2012-07-01,"38","normal","world","all","web",0
"104",2012-08-01,"40","normal","world","all","web",0
"105",2012-09-01,"45","normal","world","all","web",0
"106",2012-10-01,"43","normal","world","all","web",0
"107",2012-11-01,"43","normal","world","all","web",0
"108",2012-12-01,"37","normal","world","all","web",0
"109",2013-01-01,"41","normal","world","all","web",0
"110",2013-02-01,"43","normal","world","all","web",0
"111",2013-03-01,"42","normal","world","all","web",0
"112",2013-04-01,"44","normal","world","all","web",0
"113",2013-05-01,"43","normal","world","all","web",0
"114",2013-06-01,"38","normal","world","all","web",0
"115",2013-07-01,"43","normal","world","all","web",0
"116",2013-08-01,"41","normal","world","all","web",0
"117",2013-09-01,"42","normal","world","all","web",0
"118",2013-10-01,"44","normal","world","all","web",0
"119",2013-11-01,"43","normal","world","all","web",0
"120",2013-12-01,"40","normal","world","all","web",0
"121",2014-01-01,"42","normal","world","all","web",0
"122",2014-02-01,"44","normal","world","all","web",0
"123",2014-03-01,"44","normal","world","all","web",0
"124",2014-04-01,"47","normal","world","all","web",0
"125",2014-05-01,"47","normal","world","all","web",0
"126",2014-06-01,"44","normal","world","all","web",0
"127",2014-07-01,"44","normal","world","all","web",0
"128",2014-08-01,"45","normal","world","all","web",0
"129",2014-09-01,"46","normal","world","all","web",0
"130",2014-10-01,"47","normal","world","all","web",0
"131",2014-11-01,"45","normal","world","all","web",0
"132",2014-12-01,"45","normal","world","all","web",0
"133",2015-01-01,"45","normal","world","all","web",0
"134",2015-02-01,"48","normal","world","all","web",0
"135",2015-03-01,"50","normal","world","all","web",0
"136",2015-04-01,"49","normal","world","all","web",0
"137",2015-05-01,"48","normal","world","all","web",0
"138",2015-06-01,"48","normal","world","all","web",0
"139",2015-07-01,"45","normal","world","all","web",0
"140",2015-08-01,"47","normal","world","all","web",0
"141",2015-09-01,"51","normal","world","all","web",0
"142",2015-10-01,"53","normal","world","all","web",0
"143",2015-11-01,"50","normal","world","all","web",0
"144",2015-12-01,"48","normal","world","all","web",0
"145",2016-01-01,"48","normal","world","all","web",0
"146",2016-02-01,"51","normal","world","all","web",0
"147",2016-03-01,"49","normal","world","all","web",0
"148",2016-04-01,"53","normal","world","all","web",0
"149",2016-05-01,"51","normal","world","all","web",0
"150",2016-06-01,"47","normal","world","all","web",0
"151",2016-07-01,"45","normal","world","all","web",0
"152",2016-08-01,"47","normal","world","all","web",0
"153",2016-09-01,"49","normal","world","all","web",0
"154",2016-10-01,"51","normal","world","all","web",0
"155",2016-11-01,"49","normal","world","all","web",0
"156",2016-12-01,"48","normal","world","all","web",0
"157",2017-01-01,"50","normal","world","all","web",0
"158",2017-02-01,"51","normal","world","all","web",0
"159",2017-03-01,"55","normal","world","all","web",0
"160",2017-04-01,"51","normal","world","all","web",0
"161",2017-05-01,"52","normal","world","all","web",0
"162",2017-06-01,"50","normal","world","all","web",0
"163",2017-07-01,"50","normal","world","all","web",0
"164",2017-08-01,"50","normal","world","all","web",0
"165",2017-09-01,"52","normal","world","all","web",0
"166",2017-10-01,"55","normal","world","all","web",0
"167",2017-11-01,"53","normal","world","all","web",0
"168",2017-12-01,"48","normal","world","all","web",0
"169",2018-01-01,"52","normal","world","all","web",0
"170",2018-02-01,"55","normal","world","all","web",0
"171",2018-03-01,"57","normal","world","all","web",0
"172",2018-04-01,"54","normal","world","all","web",0
"173",2018-05-01,"53","normal","world","all","web",0
"174",2018-06-01,"50","normal","world","all","web",0
"175",2018-07-01,"52","normal","world","all","web",0
"176",2018-08-01,"53","normal","world","all","web",0
"177",2018-09-01,"58","normal","world","all","web",0
"178",2018-10-01,"58","normal","world","all","web",0
"179",2018-11-01,"55","normal","world","all","web",0
"180",2018-12-01,"51","normal","world","all","web",0
"181",2019-01-01,"54","normal","world","all","web",0
"182",2019-02-01,"54","normal","world","all","web",0
"183",2019-03-01,"58","normal","world","all","web",0
"184",2019-04-01,"57","normal","world","all","web",0
"185",2019-05-01,"56","normal","world","all","web",0
"186",2019-06-01,"55","normal","world","all","web",0
"187",2019-07-01,"54","normal","world","all","web",0
"188",2019-08-01,"54","normal","world","all","web",0
"189",2019-09-01,"58","normal","world","all","web",0
"190",2019-10-01,"58","normal","world","all","web",0
"191",2019-11-01,"61","normal","world","all","web",0
"192",2019-12-01,"56","normal","world","all","web",0
"193",2020-01-01,"59","normal","world","all","web",0
"194",2020-02-01,"61","normal","world","all","web",0
"195",2020-03-01,"75","normal","world","all","web",0
"196",2020-04-01,"73","normal","world","all","web",0
"197",2020-05-01,"84","normal","world","all","web",0
"198",2020-06-01,"78","normal","world","all","web",0
"199",2020-07-01,"77","normal","world","all","web",0
"200",2020-08-01,"75","normal","world","all","web",0
"201",2020-09-01,"77","normal","world","all","web",0
"202",2020-10-01,"75","normal","world","all","web",0
"203",2020-11-01,"71","normal","world","all","web",0
"204",2020-12-01,"72","normal","world","all","web",0
"205",2021-01-01,"74","normal","world","all","web",0
"206",2021-02-01,"77","normal","world","all","web",0
"207",2021-03-01,"80","normal","world","all","web",0
"208",2021-04-01,"79","normal","world","all","web",0
"209",2021-05-01,"85","normal","world","all","web",0
"210",2021-06-01,"80","normal","world","all","web",0
"211",2021-07-01,"80","normal","world","all","web",0
"212",2021-08-01,"77","normal","world","all","web",0
"213",2021-09-01,"74","normal","world","all","web",0
"214",2021-10-01,"79","normal","world","all","web",0
"215",2021-11-01,"75","normal","world","all","web",0
"216",2021-12-01,"68","normal","world","all","web",0
"217",2022-01-01,"85","normal","world","all","web",0
"218",2022-02-01,"84","normal","world","all","web",0
"219",2022-03-01,"85","normal","world","all","web",0
"220",2022-04-01,"84","normal","world","all","web",0
"221",2022-05-01,"81","normal","world","all","web",0
"222",2022-06-01,"82","normal","world","all","web",0
"223",2022-07-01,"84","normal","world","all","web",0
"224",2022-08-01,"89","normal","world","all","web",0
"225",2022-09-01,"88","normal","world","all","web",0
"226",2022-10-01,"90","normal","world","all","web",0
"227",2022-11-01,"80","normal","world","all","web",0
"228",2022-12-01,"83","normal","world","all","web",0
"229",2023-01-01,"83","normal","world","all","web",0
"230",2023-02-01,"91","normal","world","all","web",0
"231",2023-03-01,"91","normal","world","all","web",0
"232",2023-04-01,"84","normal","world","all","web",0
"233",2023-05-01,"89","normal","world","all","web",0
"234",2023-06-01,"88","normal","world","all","web",0
"235",2023-07-01,"86","normal","world","all","web",0
"236",2023-08-01,"91","normal","world","all","web",0
"237",2023-09-01,"91","normal","world","all","web",0
"238",2023-10-01,"93","normal","world","all","web",0
"239",2023-11-01,"92","normal","world","all","web",0
"240",2023-12-01,"87","normal","world","all","web",0
"241",2024-01-01,"91","normal","world","all","web",0
"242",2024-02-01,"89","normal","world","all","web",0
"243",2024-03-01,"91","normal","world","all","web",0
"244",2024-04-01,"88","normal","world","all","web",0
"245",2024-05-01,"90","normal","world","all","web",0
"246",2024-06-01,"83","normal","world","all","web",0
"247",2024-07-01,"88","normal","world","all","web",0
"248",2024-08-01,"90","normal","world","all","web",0
"249",2024-09-01,"89","normal","world","all","web",0
"250",2024-10-01,"92","normal","world","all","web",0
"251",2024-11-01,"91","normal","world","all","web",0
